品番,商品名_JA,catalog_pages,catalog_info,catalog_usage,catalog_features,catalog_size_material,catalog_evidence,issue_flags
0819-11,(-)バネ丁番ネジG1.4×3.5,カタログP.57,(-)バネ丁番ネジG1.4×3.5 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本 No.0819-10 No.0819-11 1袋 240N299 Parts バネ丁番パーツ No.772-518 No.772-519 No.772-520 No.772-521 No.772-522 No.773-523 12ヶ ; 画像=0819-11_1.jpg,printed_pages_normalized
0819-11A,(-)バネ丁番ネジG(100本入),,(-)バネ丁番ネジG(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0819-12,(-)バネ丁番ネジG1.4×4.5,カタログP.57,(-)バネ丁番ネジG1.4×4.5 / 交換・補修部品 / 必要部品だけを補充しやすい / 眼鏡修理・補修用の交換部品です。破損や摩耗した部分を必要な分だけ補充し、修理対応をしやすくします。 / 入数: 10本,交換・補修部品,必要部品だけを補充しやすい / 眼鏡修理・補修用の交換部品です。破損や摩耗した部分を必要な分だけ補充し、修理対応をしやすくします。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=具 丁番の隙間に先端部分を 入れる事により隙間が 広がります 視力測定 ヤットコでピンを 折って下さい No.0819-12 お徳用あります 100個 詳しくはP1〜5 を参照 バネ丁番ネジ 240N8500 加 加工備品 消 耗 品 ショップ アイテム POP ラッピング エッシェン ; 画像=0819-12_1.jpg,printed_pages_normalized
0819-12A,(-)バネ丁番ネジG(100本入),,(-)バネ丁番ネジG(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0822-01,花型ナットW1.2×2.25×1.0,カタログP.50,花型ナットW1.2×2.25×1.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 18ヶ,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 18ヶ,カタログ参照=カタログP.50 ; PDF抽出メモ=ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W ツーポイント 1.2 鼻 盛 パ ット No.0822-03 花型 GUN ツーポイント ; 画像=0822-01_1.jpg,printed_pages_normalized
0822-01A,花型ナットW(100個入),,花型ナットW(100個入) / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0822-02,花型ナットG1.2×2.25×1.0,カタログP.50,花型ナットG1.2×2.25×1.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 形状 カラー 特徴・ 用途 ハ ード パ ット No.0822-02 花型 G ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W / 入数: 16ヶ,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 形状 カラー 特徴・ 用途 ハ ード パ ット No.0822-02 花型 G ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W,入数: 16ヶ,カタログ参照=カタログP.50 ; PDF抽出メモ=形状 カラー 特徴・ 用途 ハ ード パ ット No.0822-02 花型 G ツーポイント 1.2 2.25 パ ット セ ット No.0822-01 花型 W ; 画像=0822-02_1.jpg,printed_pages_normalized
0822-02A,花型ナットG(100個入),,花型ナットG(100個入) / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0822-03,花型ナットGUN1.2×2.25×1.0,カタログP.50,花型ナットGUN1.2×2.25×1.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 14ヶ,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 14ヶ,カタログ参照=カタログP.50 ; PDF抽出メモ=W ツーポイント 1.2 鼻 盛 パ ット No.0822-03 花型 GUN ツーポイント ネ No.141-625 六角 G No.141-626 六角 ; 画像=0822-03_1.jpg,printed_pages_normalized
0822-03A,花型ナットGUN(100個入),,花型ナットGUN(100個入) / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0831-00,ツーポイントネジW 1.2×10,カタログP.50,ツーポイントネジW 1.2×10 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 15本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 15本,カタログ参照=カタログP.50 ; PDF抽出メモ=洋白 G ツーポイント 1.2 10.0 No.0831-00 洋白 W ツーポイント 1.2 No.0831-20 洋白 GUN ツーポイント 計測器 加 ; 画像=0831-00_1.jpg,printed_pages_normalized
0831-00A,(-)ツーポイントネジW(100本入),,(-)ツーポイントネジW(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0831-10,ツーポイントネジG 1.2×10,カタログP.50,ツーポイントネジG 1.2×10 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 14本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 14本,カタログ参照=カタログP.50 ; PDF抽出メモ=S A B C の価格はP1 〜P5 のサービスパック一覧をご参照下さい。 該当する●●●● ツ ー ポ イント用 部 品 品番 素材 No.0831-10 形状 240N299 入数 サービスパック 1.8 14本 ー A ー ー ー 10.0 1.8 ; 画像=0831-10_1.jpg,printed_pages_normalized
0831-10A,(-)ツーポイントネジG(100本入),,(-)ツーポイントネジG(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0831-20,ツーポイントネジGUN 1.2×10,カタログP.50,ツーポイントネジGUN 1.2×10 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 13本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 13本,カタログ参照=カタログP.50 ; PDF抽出メモ=No.0831-00 洋白 W ツーポイント 1.2 No.0831-20 洋白 GUN ツーポイント 計測器 加 S A B C の価格はP1 〜P5 のサービスパック一覧をご参照下さい。 該当する●●●● ツ ー ポ イント用 部 品 品番 素材 No.0831-10 ; 画像=0831-20_1.jpg,printed_pages_normalized
0831-20A,(-)ツーポイントネジGUN(100本入),,(-)ツーポイントネジGUN(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0839-00,六角底付ナットW1.2×2.25×2.0,カタログP.50,六角底付ナットW1.2×2.25×2.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 10ヶ,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 10ヶ,カタログ参照=カタログP.50 ; PDF抽出メモ=1.2 2.25 2.0 8ヶ ー A ー ー ー No.0839-00 六角底付 W ツーポイント 1.2 2.25 2.0 10ヶ ー A ー ー ー No.0839-20 ; 画像=0839-00_1.jpg,printed_pages_normalized
0839-00A,六角底付ナットW(100個入),,六角底付ナットW(100個入) / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0839-10,六角底付ナットG1.2×2.25×2.0,カタログP.50,六角底付ナットG1.2×2.25×2.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 8ヶ / 厚み （㎜） 入数 サービスパック 1.0 16ヶ ー A ー ー ー 2.25 1.0,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 8ヶ / 厚み （㎜） 入数 サービスパック 1.0 16ヶ ー A ー ー ー 2.25 1.0,カタログ参照=カタログP.50 ; PDF抽出メモ=No.141-625 六角 G No.141-626 六角 No.0839-10 240N299 厚み （㎜） 入数 サービスパック 1.0 16ヶ ー A ー ー ー 2.25 1.0 ; 画像=0839-10_1.jpg,printed_pages_normalized
0839-10A,六角底付ナットG(100個入),,六角底付ナットG(100個入) / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 100個,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 100個,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0839-20,六角底付ナットGUN1.2×2.25×2.0,カタログP.50,六角底付ナットGUN1.2×2.25×2.0 / 小部品固定 / ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。 / 入数: 8ヶ,小部品固定,ゆるみやガタつきを抑えやすい / ツーポイントや小部品の固定に使うナットです。サイズを合わせて交換することで、ゆるみやガタつきを抑え、仕上がりを安定させやすくします。,入数: 8ヶ,カタログ参照=カタログP.50 ; PDF抽出メモ=1.2 2.25 2.0 10ヶ ー A ー ー ー No.0839-20 六角底付 GUN ツーポイント 1.2 2.25 2.0 8ヶ ー A ー ー ー No.0844-10 ; 画像=0839-20_1.jpg,printed_pages_normalized
